Rep,Mo,Mt,treatment,t,root_class
1,1.05,0.74,Trench,572,S
2,1.14,0.77,Trench,474,S
3,1.08,0.57,Trench,572,S
4,1.13,0.84,Trench,307,S
5,1.16,0.92,Trench,307,S
6,1.1,0.48,Trench,678,S
7,1.21,0.96,Trench,160,S
8,1.18,0.78,Trench,572,S
9,1.16,0.73,Trench,678,S
10,1.1,1.02,Trench,160,S
11,1.05,0.76,Trench,678,S
12,1.12,0.83,Trench,307,S
13,1.18,0.58,Trench,678,S
14,1.14,0.98,Trench,160,S
15,1.06,0.72,Trench,474,S
16,1.04,0.73,Trench,474,S
17,1.19,0.95,Trench,160,S
18,1.27,0.88,Trench,572,S
19,1.22,1,Trench,474,S
20,1.14,0.87,Trench,307,S
21,1.09,1,Trench,474,S
22,0.96,0.74,Trench,307,S
23,0.99,0.88,Trench,474,S
24,1.01,0.36,Trench,678,S
25,1.01,0.59,Trench,572,S
26,0.98,0.75,Trench,160,S
27,1.58,1.03,Trench,572,S
28,1.58,0.97,Trench,678,S
29,1.7,1.68,Trench,160,S
30,2.05,1.62,Trench,307,S
1,3.24,2.3,Trench,572,L
2,1.94,1.78,Trench,160,L
3,3.05,1.96,Trench,307,L
4,2.85,2,Trench,572,L
5,3.05,1.36,Trench,678,L
6,2.76,2,Trench,307,L
7,2.74,2.06,Trench,474,L
8,2.62,2.68,Trench,160,L
9,2.39,1.72,Trench,474,L
10,3.27,1.12,Trench,678,L
1,1.11,0.67,Control,572,S
2,0.98,0.68,Control,678,S
3,1.12,0.87,Control,307,S
4,1.09,0.6,Control,678,S
5,1.07,0.81,Control,474,S
6,1.18,0.83,Control,307,S
7,1.12,0.65,Control,572,S
8,1.16,0.98,Control,160,S
9,1.12,0.76,Control,572,S
10,1.09,0.74,Control,474,S
11,1.07,0.63,Control,678,S
12,1.14,0.78,Control,474,S
13,1.04,0.51,Control,572,S
14,1.06,0.98,Control,160,S
15,1.12,0.96,Control,160,S
16,1.08,0.69,Control,678,S
17,1.05,0.84,Control,474,S
18,1.05,0.93,Control,160,S
19,1.1,0.9,Control,307,S
20,1.14,0.72,Control,307,S
21,2.21,1.61,Control,572,S
22,1.8,0.99,Control,572,S
23,2.03,1.51,Control,474,S
24,1.79,1.59,Control,307,S
25,1.73,1.48,Control,474,S
26,2.07,1.74,Control,160,S
27,1.87,1.42,Control,307,S
28,2.16,1.82,Control,160,S
29,2.13,1.18,Control,678,S
30,1.76,1.24,Control,678,S
1,2.38,2.1,Control,307,L
2,2.27,1.86,Control,307,L
3,2.32,1.98,Control,474,L
4,3.48,2.97,Control,474,L
5,2.25,2.25,Control,160,L
6,2.57,2.3,Control,572,L
7,2.37,2.02,Control,160,L
8,2.4,2.14,Control,572,L
